Ref_Date,GEO,INS,RAN,STA,Value
2016/2017,Canada,University of Victoria,Without senior administrative duties,Total teaching staff,222
2016/2017,Canada,University of Victoria,Without senior administrative duties,Average (dollars),116775
2016/2017,Canada,University of Victoria,Without senior administrative duties,Median (dollars),113100
2016/2017,Canada,University of Victoria,Assistant professor,Total teaching staff,102
2016/2017,Canada,University of Victoria,Assistant professor,Average (dollars),101650
2016/2017,Canada,University of Victoria,Assistant professor,Median (dollars),98875
2016/2017,Canada,University of Victoria,Rank below assistant professor,Total teaching staff,63
2016/2017,Canada,University of Victoria,Rank below assistant professor,Average (dollars),104425
2016/2017,Canada,University of Victoria,Rank below assistant professor,Median (dollars),103750
2016/2017,Canada,University of Victoria,Other teaching staff,Total teaching staff,21
2016/2017,Canada,University of Victoria,Other teaching staff,Average (dollars),115650
2016/2017,Canada,University of Victoria,Other teaching staff,Median (dollars),116850
2016/2017,Canada,University of Victoria,All ranks combined (including deans),Total teaching staff,756
2016/2017,Canada,University of Victoria,All ranks combined (including deans),Average (dollars),130025
2016/2017,Canada,University of Victoria,All ranks combined (including deans),Median (dollars),126725
2016/2017,Canada,University of Victoria,Male,Total teaching staff,432
2016/2017,Canada,University of Victoria,Male,Average (dollars),133675
2016/2017,Canada,University of Victoria,Male,Median (dollars),131475
2016/2017,Canada,University of Victoria,Female,Total teaching staff,321
2016/2017,Canada,University of Victoria,Female,Average (dollars),125075
2016/2017,Canada,University of Victoria,Female,Median (dollars),121975
2016/2017,Canada,Thompson Rivers University,Full professor,Total teaching staff,27
2016/2017,Canada,Thompson Rivers University,Full professor,Average (dollars),122500
2016/2017,Canada,Thompson Rivers University,Full professor,Median (dollars),117750
2016/2017,Canada,Thompson Rivers University,With senior administrative duties,Total teaching staff,6
2016/2017,Canada,Thompson Rivers University,With senior administrative duties,Average (dollars),x
2016/2017,Canada,Thompson Rivers University,With senior administrative duties,Median (dollars),x
2016/2017,Canada,Thompson Rivers University,Without senior administrative duties,Total teaching staff,24
2016/2017,Canada,Thompson Rivers University,Without senior administrative duties,Average (dollars),121750
2016/2017,Canada,Thompson Rivers University,Without senior administrative duties,Median (dollars),117750
2016/2017,Canada,Thompson Rivers University,Associate professor,Total teaching staff,66
2016/2017,Canada,Thompson Rivers University,Associate professor,Average (dollars),107575
2016/2017,Canada,Thompson Rivers University,Associate professor,Median (dollars),108775
2016/2017,Canada,Thompson Rivers University,With senior administrative duties,Total teaching staff,15
2016/2017,Canada,Thompson Rivers University,With senior administrative duties,Average (dollars),110150
2016/2017,Canada,Thompson Rivers University,With senior administrative duties,Median (dollars),110300
2016/2017,Canada,Thompson Rivers University,Without senior administrative duties,Total teaching staff,51
2016/2017,Canada,Thompson Rivers University,Without senior administrative duties,Average (dollars),106850
2016/2017,Canada,Thompson Rivers University,Without senior administrative duties,Median (dollars),108775
2016/2017,Canada,Thompson Rivers University,Assistant professor,Total teaching staff,72
2016/2017,Canada,Thompson Rivers University,Assistant professor,Average (dollars),90425
2016/2017,Canada,Thompson Rivers University,Assistant professor,Median (dollars),89675
2016/2017,Canada,Thompson Rivers University,Rank below assistant professor,Total teaching staff,147
2016/2017,Canada,Thompson Rivers University,Rank below assistant professor,Average (dollars),90850
2016/2017,Canada,Thompson Rivers University,Rank below assistant professor,Median (dollars),89675
2016/2017,Canada,Thompson Rivers University,All ranks combined (including deans),Total teaching staff,318
2016/2017,Canada,Thompson Rivers University,All ranks combined (including deans),Average (dollars),98225
2016/2017,Canada,Thompson Rivers University,All ranks combined (including deans),Median (dollars),92575
2016/2017,Canada,Thompson Rivers University,Male,Total teaching staff,168
2016/2017,Canada,Thompson Rivers University,Male,Average (dollars),101475
2016/2017,Canada,Thompson Rivers University,Male,Median (dollars),98350
2016/2017,Canada,Thompson Rivers University,Female,Total teaching staff,150
2016/2017,Canada,Thompson Rivers University,Female,Average (dollars),94550
2016/2017,Canada,Thompson Rivers University,Female,Median (dollars),89675
2016/2017,Canada,Capilano University,Rank below assistant professor,Total teaching staff,147
2016/2017,Canada,Capilano University,Rank below assistant professor,Average (dollars),89025
2016/2017,Canada,Capilano University,Rank below assistant professor,Median (dollars),89675
2016/2017,Canada,Capilano University,All ranks combined (including deans),Total teaching staff,147
2016/2017,Canada,Capilano University,All ranks combined (including deans),Average (dollars),89025
2016/2017,Canada,Capilano University,All ranks combined (including deans),Median (dollars),89675
2016/2017,Canada,Capilano University,Male,Total teaching staff,69
2016/2017,Canada,Capilano University,Male,Average (dollars),88975
2016/2017,Canada,Capilano University,Male,Median (dollars),89675
2016/2017,Canada,Capilano University,Female,Total teaching staff,81
2016/2017,Canada,Capilano University,Female,Average (dollars),89050
2016/2017,Canada,Capilano University,Female,Median (dollars),89675
2016/2017,Canada,Vancouver Island University,Other teaching staff,Total teaching staff,258
2016/2017,Canada,Vancouver Island University,Other teaching staff,Average (dollars),86175
2016/2017,Canada,Vancouver Island University,Other teaching staff,Median (dollars),88300
2016/2017,Canada,Vancouver Island University,All ranks combined (including deans),Total teaching staff,258
2016/2017,Canada,Vancouver Island University,All ranks combined (including deans),Average (dollars),86175
2016/2017,Canada,Vancouver Island University,All ranks combined (including deans),Median (dollars),88300
2016/2017,Canada,Vancouver Island University,Male,Total teaching staff,129
2016/2017,Canada,Vancouver Island University,Male,Average (dollars),86475
2016/2017,Canada,Vancouver Island University,Male,Median (dollars),88300
2016/2017,Canada,Vancouver Island University,Female,Total teaching staff,129
2016/2017,Canada,Vancouver Island University,Female,Average (dollars),85900
2016/2017,Canada,Vancouver Island University,Female,Median (dollars),88300
2016/2017,Canada,Kwantlen Polytechnic University,Other teaching staff,Total teaching staff,387
2016/2017,Canada,Kwantlen Polytechnic University,Other teaching staff,Average (dollars),89800
2016/2017,Canada,Kwantlen Polytechnic University,Other teaching staff,Median (dollars),90075
2016/2017,Canada,Kwantlen Polytechnic University,All ranks combined (including deans),Total teaching staff,393
2016/2017,Canada,Kwantlen Polytechnic University,All ranks combined (including deans),Average (dollars),90250
2016/2017,Canada,Kwantlen Polytechnic University,All ranks combined (including deans),Median (dollars),90075
2016/2017,Canada,Kwantlen Polytechnic University,Male,Total teaching staff,192
2016/2017,Canada,Kwantlen Polytechnic University,Male,Average (dollars),90175
